TransactionID,CustomerID,AccountNumber,TransactionTypeID,TransactionAmount,UsageQuantity,TDUAmount,CreatedDate
2512,176,COMM-100194,4,28.73,0,0,2025-10-29
7344,500,COMM-100563,4,19.34,0,0,2025-10-29
15434,1053,SMALLCOMM-101173,4,17.57,0,0,2025-10-29
17755,1221,RESI-101363,4,2.15,0,0,2025-10-29
20771,1409,COMM-101580,4,10,0,0,2025-10-29
22157,1501,SMALLCOMM-101687,4,12.85,0,0,2025-10-29
23860,1622,RESI-101825,4,3.69,0,0,2025-10-29
28980,1955,COMM-102205,4,31.62,0,0,2025-10-29
39387,2704,COMM-103032,4,16.59,0,0,2025-10-29
40572,2787,SMALLCOMM-103130,4,12.55,0,0,2025-10-29
41764,2864,RESI-103214,4,2.01,0,0,2025-10-29
41837,2870,SMALLCOMM-103221,4,7.34,0,0,2025-10-29
41909,2875,SMALLCOMM-103226,4,7.87,0,0,2025-10-29
42590,2930,RESI-103287,4,1.47,0,0,2025-10-29
43160,2964,RESI-103324,4,1.04,0,0,2025-10-29
44045,3035,SMALLCOMM-103403,4,11.69,0,0,2025-10-29
45398,3142,RESI-103514,4,1.56,0,0,2025-10-29
46301,3209,SMALLCOMM-103592,4,29.13,0,0,2025-10-29
49128,3401,COMM-103802,4,15.91,0,0,2025-10-29
51062,3533,SMALLCOMM-103949,4,14.06,0,0,2025-10-29
52516,3624,RESI-104055,4,1.52,0,0,2025-10-29
54671,3779,COMM-104228,4,10.29,0,0,2025-10-29
65868,4550,RESI-105111,4,0.95,0,0,2025-10-29
66955,4629,RESI-105203,4,0.53,0,0,2025-10-29
69405,4788,SMALLCOMM-105379,4,7.7,0,0,2025-10-29
69790,4816,SMALLCOMM-105407,4,10.98,0,0,2025-10-29
70838,4892,RESI-105489,4,2.1,0,0,2025-10-29
9887,674,COMM-100750,4,28.46,0,0,2025-10-28
19225,1312,RESI-101467,4,2,0,0,2025-10-28
19387,1319,SMALLCOMM-101477,4,24.56,0,0,2025-10-28
19609,1336,RESI-101494,4,1.63,0,0,2025-10-28
26897,1815,SMALLCOMM-102045,4,12.73,0,0,2025-10-28
31653,2149,COMM-102420,4,21.79,0,0,2025-10-28
53216,3681,RESI-104116,4,4.38,0,0,2025-10-28
56491,3908,SMALLCOMM-104374,4,28.02,0,0,2025-10-28
4221,291,RESI-100322,4,2.67,0,0,2025-10-27
7953,540,SMALLCOMM-100606,4,7.03,0,0,2025-10-27
13816,942,COMM-101051,4,21.12,0,0,2025-10-27
14608,1000,RESI-101115,4,2.08,0,0,2025-10-27
18344,1257,COMM-101404,4,33.66,0,0,2025-10-27
19864,1354,SMALLCOMM-101512,4,15.04,0,0,2025-10-27
22513,1521,SMALLCOMM-101714,4,11.1,0,0,2025-10-27
23601,1605,COMM-101806,4,24.3,0,0,2025-10-27
40811,2802,RESI-103146,4,1.88,0,0,2025-10-27
41726,2861,RESI-103211,4,0.99,0,0,2025-10-27
55645,3848,COMM-104306,4,17.59,0,0,2025-10-27
56306,3898,COMM-104361,4,10.15,0,0,2025-10-27
64332,4440,COMM-104982,4,21.14,0,0,2025-10-27
73075,4980,COMM-105583,4,32.11,0,0,2025-10-27
9010,612,SMALLCOMM-100685,4,7.84,0,0,2025-10-26
29456,1990,SMALLCOMM-102242,4,13.53,0,0,2025-10-26
33056,2264,SMALLCOMM-102542,4,8.6,0,0,2025-10-26
33479,2291,SMALLCOMM-102571,4,12.78,0,0,2025-10-26
34729,2382,SMALLCOMM-102668,4,4.99,0,0,2025-10-26
36165,2479,SMALLCOMM-102779,4,11.34,0,0,2025-10-26
37710,2587,SMALLCOMM-102898,4,17.67,0,0,2025-10-26
39221,2695,SMALLCOMM-103020,4,8.27,0,0,2025-10-26
39860,2731,SMALLCOMM-103065,4,13.24,0,0,2025-10-26
42497,2923,RESI-103279,4,2.8,0,0,2025-10-26
43455,2991,COMM-103355,4,27.7,0,0,2025-10-26
47503,3291,COMM-103686,4,11.8,0,0,2025-10-26
47838,3316,SMALLCOMM-103713,4,4.3,0,0,2025-10-26
58612,4058,SMALLCOMM-104545,4,20.29,0,0,2025-10-26
59423,4111,COMM-104606,4,21.7,0,0,2025-10-26
62849,4341,RESI-104876,4,2.27,0,0,2025-10-26
63139,4358,SMALLCOMM-104897,4,9.97,0,0,2025-10-26
67747,4675,COMM-105255,4,15.06,0,0,2025-10-26
69826,4818,RESI-105409,4,1.82,0,0,2025-10-26
5709,391,SMALLCOMM-100437,4,16.74,0,0,2025-10-25
6521,446,SMALLCOMM-100498,4,27.72,0,0,2025-10-25
10179,691,COMM-100772,4,10.43,0,0,2025-10-25
17973,1235,RESI-101378,4,4.43,0,0,2025-10-25
23971,1627,COMM-101833,4,18.55,0,0,2025-10-25
25844,1751,COMM-101972,4,33.82,0,0,2025-10-25
26121,1769,SMALLCOMM-101991,4,12.77,0,0,2025-10-25
26327,1782,SMALLCOMM-102007,4,22.45,0,0,2025-10-25
29273,1977,SMALLCOMM-102228,4,28.52,0,0,2025-10-25
30106,2043,SMALLCOMM-102299,4,5.63,0,0,2025-10-25
34821,2387,SMALLCOMM-102675,4,12.48,0,0,2025-10-25
38212,2623,RESI-102939,4,2.5,0,0,2025-10-25
44267,3050,COMM-103418,4,21.13,0,0,2025-10-25
48720,3372,RESI-103771,4,1.52,0,0,2025-10-25
50171,3476,SMALLCOMM-103886,4,16.71,0,0,2025-10-25
51098,3535,SMALLCOMM-103951,4,14.8,0,0,2025-10-25
60482,4189,SMALLCOMM-104697,4,28.44,0,0,2025-10-25
66473,4598,SMALLCOMM-105167,4,10.7,0,0,2025-10-25
70468,4871,SMALLCOMM-105464,4,9.54,0,0,2025-10-25
71833,2455,RESI-106026,4,2.11,0,0,2025-10-25
14773,1009,RESI-101126,4,2.42,0,0,2025-10-24
20420,1391,COMM-101558,4,8.35,0,0,2025-10-24
20991,1429,COMM-101601,4,31.52,0,0,2025-10-24
25790,1747,SMALLCOMM-101968,4,31.98,0,0,2025-10-24
25991,1762,RESI-101984,4,0.88,0,0,2025-10-24
50616,3507,RESI-103922,4,0.73,0,0,2025-10-24
51526,3561,RESI-103981,4,4.49,0,0,2025-10-24
61147,4235,SMALLCOMM-104755,4,10.8,0,0,2025-10-24
72855,4964,SMALLCOMM-105567,4,12.86,0,0,2025-10-24
12704,869,COMM-100969,4,17.31,0,0,2025-10-23
16424,1128,RESI-101257,4,0.82,0,0,2025-10-23
17019,1165,COMM-101305,4,6.83,0,0,2025-10-23
35965,2465,SMALLCOMM-102765,4,4.76,0,0,2025-10-23
52772,3642,RESI-104073,4,1.32,0,0,2025-10-23
57966,4018,SMALLCOMM-104494,4,19.81,0,0,2025-10-23
59034,4089,RESI-104578,4,1.08,0,0,2025-10-23
59532,4119,RESI-104615,4,2.84,0,0,2025-10-23
6245,428,COMM-100477,4,11.7,0,0,2025-10-22
22757,1539,RESI-101732,4,2.68,0,0,2025-10-22
26250,1777,COMM-102002,4,35.37,0,0,2025-10-22
29753,2014,COMM-102266,4,20.15,0,0,2025-10-22
30329,2060,RESI-102317,4,0.63,0,0,2025-10-22
33973,2327,SMALLCOMM-102610,4,14.68,0,0,2025-10-22
41252,2828,SMALLCOMM-103176,4,9.1,0,0,2025-10-22
69260,4781,RESI-105370,4,1.06,0,0,2025-10-22
5782,396,COMM-100442,4,24.6,0,0,2025-10-21
7090,481,SMALLCOMM-100541,4,7.17,0,0,2025-10-21
8097,554,SMALLCOMM-100620,4,5.76,0,0,2025-10-21
11739,801,COMM-100895,4,37.6,0,0,2025-10-21
13148,901,RESI-101002,4,1.35,0,0,2025-10-21
16910,1159,RESI-101297,3,1.94,50,1.47,2025-10-21
30200,2049,RESI-102305,4,0.71,0,0,2025-10-21
49091,3398,RESI-103799,4,2.08,0,0,2025-10-21
52351,3612,SMALLCOMM-104043,4,25.91,0,0,2025-10-21
54449,3763,RESI-104209,4,0.96,0,0,2025-10-21
58521,4053,RESI-104538,3,1.93,83,2.11,2025-10-21
64772,4467,COMM-105017,4,46.09,0,0,2025-10-21
2566,179,COMM-100198,4,19.33,0,0,2025-10-20
4608,318,RESI-100353,4,1.44,0,0,2025-10-20
8535,583,SMALLCOMM-100651,4,17.82,0,0,2025-10-20
18589,1273,COMM-101422,4,12.55,0,0,2025-10-20
18898,1292,SMALLCOMM-101444,4,13.54,0,0,2025-10-20
32223,2198,RESI-102473,4,1.19,0,0,2025-10-20
38668,2652,COMM-102976,4,8.22,0,0,2025-10-20
45324,3134,RESI-103506,4,0.92,0,0,2025-10-20
52810,3644,SMALLCOMM-104075,4,18.97,0,0,2025-10-20
56270,3896,RESI-104359,4,1.81,0,0,2025-10-20
59295,4105,RESI-104596,4,0.83,0,0,2025-10-20
67083,4636,COMM-105210,4,11.52,0,0,2025-10-20
68209,4703,RESI-105287,4,1.3,0,0,2025-10-20
6061,413,COMM-100462,4,23.66,0,0,2025-10-19
8224,564,COMM-100630,4,19.3,0,0,2025-10-19
12834,880,SMALLCOMM-100980,4,5.76,0,0,2025-10-19
19994,1363,COMM-101522,4,11.08,0,0,2025-10-19
21266,1446,COMM-101621,4,12.78,0,0,2025-10-19
21602,1470,COMM-101649,4,9.21,0,0,2025-10-19
22850,1542,RESI-101737,4,1.55,0,0,2025-10-19
23583,1604,SMALLCOMM-101805,4,10.51,0,0,2025-10-19
25607,1734,COMM-101954,4,38.05,0,0,2025-10-19
29219,1972,RESI-102223,4,2.1,0,0,2025-10-19
36660,2513,RESI-102817,4,4.04,0,0,2025-10-19
38484,2639,RESI-102959,4,2.85,0,0,2025-10-19
42017,2881,RESI-103234,4,3.82,0,0,2025-10-19
42181,2891,COMM-103245,4,26.23,0,0,2025-10-19
47007,3259,COMM-103648,4,20.74,0,0,2025-10-19
47485,3291,COMM-103685,4,20.8,0,0,2025-10-19
57765,4008,COMM-104480,4,19.84,0,0,2025-10-19
63946,4412,SMALLCOMM-104953,4,17.66,0,0,2025-10-19
65998,4562,RESI-105124,3,2.08,130,3.63,2025-10-19
67362,4652,SMALLCOMM-105228,4,5.61,0,0,2025-10-19
69039,4761,SMALLCOMM-105349,4,21.04,0,0,2025-10-19
72427,4939,RESI-105542,4,0.96,0,0,2025-10-19
4700,323,SMALLCOMM-100360,4,13.35,0,0,2025-10-18
6885,469,RESI-100523,4,0.58,0,0,2025-10-18
7419,507,RESI-100570,3,5.49,119,1.65,2025-10-18
9923,676,RESI-100753,4,0.76,0,0,2025-10-18
10583,717,SMALLCOMM-100801,4,22.75,0,0,2025-10-18
11612,793,RESI-100885,4,1.75,0,0,2025-10-18
18122,1247,COMM-101391,4,23.63,0,0,2025-10-18
40829,2804,COMM-103148,4,35.14,0,0,2025-10-18
45987,3185,SMALLCOMM-103560,4,7.11,0,0,2025-10-18
46821,3245,SMALLCOMM-103633,4,9.05,0,0,2025-10-18
53677,3715,RESI-104155,3,8.16,175,4.47,2025-10-18
61976,4287,SMALLCOMM-104817,4,31.11,0,0,2025-10-18
68283,4708,COMM-105293,4,12.92,0,0,2025-10-18
70506,4873,COMM-105466,4,35.75,0,0,2025-10-18
14311,977,SMALLCOMM-101092,4,11.65,0,0,2025-10-17
19552,1331,SMALLCOMM-101489,4,16.21,0,0,2025-10-17
23306,1584,RESI-101784,4,2.64,0,0,2025-10-17
26768,1807,RESI-102037,3,4.88,244,3.55,2025-10-17
29438,1989,RESI-102241,4,1.87,0,0,2025-10-17
32552,2229,RESI-102504,4,2.03,0,0,2025-10-17
41179,2824,RESI-103171,4,1.04,0,0,2025-10-17
41234,2827,COMM-103174,4,29.26,0,0,2025-10-17
41963,2879,COMM-103230,4,6.68,0,0,2025-10-17
49018,3392,COMM-103792,4,12.58,0,0,2025-10-17
51380,3552,COMM-103971,4,34.98,0,0,2025-10-17
67102,4636,COMM-105211,4,24.65,0,0,2025-10-17
5158,353,RESI-100395,4,0.57,0,0,2025-10-16
9213,628,COMM-100701,4,6.68,0,0,2025-10-16
9570,651,SMALLCOMM-100726,4,6.19,0,0,2025-10-16
12595,863,SMALLCOMM-100961,4,25.6,0,0,2025-10-16
14146,967,RESI-101077,3,5.8,93,1.7,2025-10-16
15215,1038,RESI-101158,4,1.31,0,0,2025-10-16
16022,1097,COMM-101225,4,21.87,0,0,2025-10-16
23676,1609,SMALLCOMM-101811,4,27.91,0,0,2025-10-16
25422,1724,SMALLCOMM-101941,4,5.43,0,0,2025-10-16
25589,1733,COMM-101953,4,12.21,0,0,2025-10-16
26473,1793,COMM-102018,4,23.24,0,0,2025-10-16
26972,1823,RESI-102053,3,4.43,124,5.14,2025-10-16
29641,2006,RESI-102258,3,7.34,140,5.88,2025-10-16
34912,2392,COMM-102681,4,27.49,0,0,2025-10-16
35245,2414,SMALLCOMM-102709,4,19.76,0,0,2025-10-16
37011,2539,COMM-102848,4,32.39,0,0,2025-10-16
52700,3637,RESI-104068,3,2.48,61,1.75,2025-10-16
59053,4091,COMM-104580,4,19.81,0,0,2025-10-16
60884,4213,SMALLCOMM-104728,4,9.18,0,0,2025-10-16
64862,4476,SMALLCOMM-105026,4,21.98,0,0,2025-10-16
69296,4783,COMM-105373,4,14.42,0,0,2025-10-16
72948,4970,RESI-105573,4,1.93,0,0,2025-10-16
3098,215,SMALLCOMM-100237,4,12.45,0,0,2025-10-15
16058,1100,COMM-101228,4,16.76,0,0,2025-10-15
20347,1389,SMALLCOMM-101554,4,14.12,0,0,2025-10-15
27141,1835,COMM-102066,4,11.67,0,0,2025-10-15
33277,2276,COMM-102556,3,128.08,4526,62.51,2025-10-15
34010,2332,RESI-102615,4,1.97,0,0,2025-10-15
37065,2542,COMM-102852,4,21.41,0,0,2025-10-15
47228,3275,RESI-103666,3,3.58,221,4.62,2025-10-15
58797,4072,RESI-104559,4,3.28,0,0,2025-10-15
58887,4080,RESI-104567,4,1.25,0,0,2025-10-15
61223,4238,COMM-104760,4,25.92,0,0,2025-10-15
63248,4364,RESI-104903,4,2.09,0,0,2025-10-15
68173,4700,RESI-105284,4,0.51,0,0,2025-10-15
72984,4973,RESI-105576,4,1.38,0,0,2025-10-15
3982,274,COMM-100303,4,6.24,0,0,2025-10-14
4258,293,COMM-100324,4,33.06,0,0,2025-10-14
7491,513,RESI-100576,4,1.05,0,0,2025-10-14
8316,570,SMALLCOMM-100638,4,11.59,0,0,2025-10-14
9552,650,RESI-100725,3,11.54,236,5.18,2025-10-14
12241,837,SMALLCOMM-100934,3,33.66,961,16.01,2025-10-14
26400,1787,RESI-102012,4,2.05,0,0,2025-10-14
29735,2013,SMALLCOMM-102265,4,20.92,0,0,2025-10-14
43123,2962,SMALLCOMM-103322,4,19,0,0,2025-10-14
43344,2979,RESI-103343,4,1.18,0,0,2025-10-14
54891,3797,SMALLCOMM-104247,3,64.21,2001,53.24,2025-10-14
57875,4012,SMALLCOMM-104487,4,13.86,0,0,2025-10-14
58391,4042,RESI-104526,4,2.67,0,0,2025-10-14
62518,4321,COMM-104856,4,37.5,0,0,2025-10-14
67657,4670,SMALLCOMM-105248,3,117.8,1735,61.88,2025-10-14
71391,1982,RESI-106002,4,2.33,0,0,2025-10-14
292,2215,RESI-106085,2,20.01,136,3.5,2025-10-13
4754,327,COMM-100364,4,33.67,0,0,2025-10-13
8937,607,COMM-100679,4,24.29,0,0,2025-10-13
13651,929,SMALLCOMM-101038,4,8.44,0,0,2025-10-13
16909,1159,RESI-101297,2,7.39,50,1.47,2025-10-13
19718,1344,SMALLCOMM-101502,4,21.02,0,0,2025-10-13
21918,1488,RESI-101674,3,5.66,300,8.51,2025-10-13
23712,1611,RESI-101813,4,1.52,0,0,2025-10-13
27506,1860,COMM-102091,4,39.16,0,0,2025-10-13
35209,2412,RESI-102707,3,4.58,127,2.73,2025-10-13
36550,2505,COMM-102808,4,21.01,0,0,2025-10-13
40243,2764,RESI-103104,2,30.1,250,6.69,2025-10-13
45267,3131,RESI-103503,2,14.21,96,1.67,2025-10-13
46483,3220,COMM-103604,2,322.38,2838,55.77,2025-10-13
48227,3346,RESI-103743,3,9.26,157,3.85,2025-10-13
50189,3479,SMALLCOMM-103889,4,13.4,0,0,2025-10-13
58094,4026,RESI-104504,4,3.88,0,0,2025-10-13
58520,4053,RESI-104538,2,9.99,83,2.11,2025-10-13
61886,4280,COMM-104808,4,23.71,0,0,2025-10-13
62702,4331,RESI-104866,4,1.48,0,0,2025-10-13
69663,4807,RESI-105398,4,0.33,0,0,2025-10-13
70857,4893,SMALLCOMM-105490,4,4.22,0,0,2025-10-13
850,50,COMM-100054,4,28.82,0,0,2025-10-12
2163,151,COMM-100165,4,38.31,0,0,2025-10-12
4389,301,RESI-100334,2,26.49,202,6.46,2025-10-12
4626,319,RESI-100354,4,2.31,0,0,2025-10-12
8973,610,RESI-100683,2,22.22,162,2.81,2025-10-12
9177,624,RESI-100697,2,29.16,185,3.39,2025-10-12
10547,715,RESI-100799,2,10.77,65,1.57,2025-10-12
21526,1465,SMALLCOMM-101642,2,265.5,2197,27.58,2025-10-12
26159,1771,COMM-101993,3,146.08,2624,54.41,2025-10-12
26363,1784,RESI-102009,2,49.55,279,11.16,2025-10-12
26620,1802,RESI-102028,3,13.13,276,9.14,2025-10-12
27361,1849,RESI-102080,4,1.45,0,0,2025-10-12
27597,1863,RESI-102096,2,32.67,243,4.37,2025-10-12
30587,2074,COMM-102337,2,395.12,3462,43.7,2025-10-12
32350,2206,COMM-102481,2,263.27,3240,58.84,2025-10-12
35652,2444,RESI-102741,2,45.71,284,5.72,2025-10-12
35947,2464,SMALLCOMM-102764,2,204.01,1429,31.75,2025-10-12
39479,2711,RESI-103039,4,1.49,0,0,2025-10-12
40078,2750,SMALLCOMM-103089,2,72.04,545,14.32,2025-10-12
48226,3346,RESI-103743,2,19.45,157,3.85,2025-10-12
50653,3509,RESI-103924,2,11.38,70,2.37,2025-10-12
52553,3626,SMALLCOMM-104057,3,31.95,657,12.33,2025-10-12
53490,3703,SMALLCOMM-104139,4,7.29,0,0,2025-10-12
57120,3956,RESI-104424,2,37.81,280,7.03,2025-10-12
59108,4092,RESI-104583,2,28.27,200,3.55,2025-10-12
64075,4422,RESI-104964,2,8.64,62,2.14,2025-10-12
66399,4591,COMM-105160,2,281.26,2384,49.44,2025-10-12
70120,4840,SMALLCOMM-105432,4,9.72,0,0,2025-10-12
72688,4954,RESI-105557,2,40.53,237,7.53,2025-10-12
73298,4994,COMM-105599,4,18.54,0,0,2025-10-12
496,3752,RESI-106096,2,9.25,68,0.97,2025-10-11
6612,451,COMM-100504,4,6.19,0,0,2025-10-11
6667,453,RESI-100507,2,28.26,183,3.37,2025-10-11
7163,488,RESI-100548,2,16.7,116,2.02,2025-10-11
7235,493,SMALLCOMM-100553,2,82.37,729,19.73,2025-10-11
7418,507,RESI-100570,2,16.1,119,1.65,2025-10-11
8279,567,RESI-100635,2,49.75,289,10.98,2025-10-11
9254,630,RESI-100703,4,1.76,0,0,2025-10-11
11393,780,RESI-100869,2,12.75,78,1.67,2025-10-11
12186,831,COMM-100928,2,451.85,4503,97.47,2025-10-11
16131,1104,COMM-101233,4,14.31,0,0,2025-10-11
16167,1110,SMALLCOMM-101239,2,188.31,1395,37.15,2025-10-11
16630,1136,RESI-101269,2,41.13,262,7.85,2025-10-11
18381,1258,COMM-101406,2,445.55,4967,55.64,2025-10-11
20121,1369,RESI-101532,2,14.48,93,3.52,2025-10-11
20679,1405,SMALLCOMM-101574,4,21.45,0,0,2025-10-11
21973,1491,RESI-101677,2,38.36,285,4.76,2025-10-11
22568,1524,RESI-101717,2,30.1,210,6.54,2025-10-11
24685,1676,RESI-101887,2,13.79,99,2.94,2025-10-11
26971,1823,RESI-102053,2,22.22,124,5.14,2025-10-11
28540,1929,RESI-102172,4,1.73,0,0,2025-10-11
33130,2268,RESI-102546,2,30.33,207,5.18,2025-10-11
35026,2400,COMM-102690,4,30.32,0,0,2025-10-11
35227,2413,SMALLCOMM-102708,4,15.63,0,0,2025-10-11
38063,2613,SMALLCOMM-102926,2,85.43,826,19.18,2025-10-11
38119,2617,RESI-102931,2,17.64,123,2.67,2025-10-11
39733,2725,RESI-103056,4,5.07,0,0,2025-10-11
40206,2761,RESI-103101,3,10.08,241,8.76,2025-10-11
43623,3001,RESI-103366,3,9.63,204,5.07,2025-10-11
48665,1701,RESI-106129,2,32.51,197,3.76,2025-10-11
49166,3402,RESI-103804,2,20.69,129,2.49,2025-10-11
50280,3487,COMM-103897,4,40.18,0,0,2025-10-11
50465,3496,RESI-103911,2,7.08,55,0.95,2025-10-11
53676,3715,RESI-104155,2,21.73,175,4.47,2025-10-11
57340,3972,SMALLCOMM-104441,2,97.28,768,19.1,2025-10-11
58996,4087,RESI-104576,2,18.61,117,2.57,2025-10-11
64036,4418,COMM-104960,2,193.03,2240,36.91,2025-10-11
65043,4498,RESI-105048,2,25.69,180,2.72,2025-10-11
66492,4599,RESI-105168,2,48.21,289,7.5,2025-10-11
68558,4729,RESI-105316,2,22.17,171,5.19,2025-10-11
69203,4777,RESI-105366,4,3.49,0,0,2025-10-11
69387,4787,RESI-105378,2,10.74,64,2.26,2025-10-11
70010,4829,RESI-105420,2,15.2,91,2.49,2025-10-11
70432,4867,RESI-105460,2,24.83,138,5.52,2025-10-11
1554,98,RESI-100109,2,18.09,122,2.35,2025-10-10
4901,337,COMM-100377,2,191.68,2174,29.29,2025-10-10
5912,403,RESI-100450,2,31.9,264,4.29,2025-10-10
7015,476,SMALLCOMM-100534,4,11.24,0,0,2025-10-10
8572,585,RESI-100653,2,36.28,248,5.55,2025-10-10
10344,703,RESI-100785,2,42.47,295,7.91,2025-10-10
19700,1343,RESI-101501,2,42.38,255,5.72,2025-10-10
20253,1382,RESI-101546,4,0.59,0,0,2025-10-10
21103,1436,SMALLCOMM-101609,4,13.26,0,0,2025-10-10
22345,1511,COMM-101702,4,22.39,0,0,2025-10-10
22363,1512,COMM-101703,4,37.1,0,0,2025-10-10
23034,1561,RESI-101758,2,47.83,293,6.35,2025-10-10
24555,1667,RESI-101878,4,2.17,0,0,2025-10-10
25110,1703,COMM-101917,2,176.77,1919,27.28,2025-10-10
25863,1751,COMM-101973,2,441.44,4412,81.53,2025-10-10
27706,1871,RESI-102107,4,5.11,0,0,2025-10-10
28887,1950,COMM-102198,2,283.22,3301,47.12,2025-10-10
29383,1987,COMM-102238,2,161.98,1912,38.51,2025-10-10
30033,2038,COMM-102294,2,351.8,3521,62,2025-10-10
31197,2111,RESI-102380,2,38.89,297,5.71,2025-10-10
31323,2123,SMALLCOMM-102392,4,8.88,0,0,2025-10-10
32169,2192,RESI-102467,3,5.32,63,2.09,2025-10-10
32814,2246,COMM-102524,4,21.68,0,0,2025-10-10
32944,2257,RESI-102535,2,27.51,157,5.16,2025-10-10
33754,2310,COMM-102591,2,143,1738,17.69,2025-10-10
34617,2375,RESI-102661,2,17.97,129,3.85,2025-10-10
35062,2400,COMM-102692,4,13.38,0,0,2025-10-10
35190,2410,SMALLCOMM-102705,3,24.38,920,21.7,2025-10-10
35410,2425,RESI-102722,2,14.77,96,2.6,2025-10-10
36475,2500,COMM-102802,2,110.63,1247,11.69,2025-10-10
36884,2528,SMALLCOMM-102833,4,14.98,0,0,2025-10-10
38834,2664,SMALLCOMM-102988,2,285.42,2301,63.1,2025-10-10
39035,2683,RESI-103008,2,22.1,145,3.06,2025-10-10
39369,2703,COMM-103030,3,57.31,1387,26.09,2025-10-10
39533,2716,RESI-103044,2,10.86,61,1.62,2025-10-10
39824,2727,COMM-103061,2,376.47,3479,58.92,2025-10-10
40024,2747,RESI-103086,3,10.37,224,4.47,2025-10-10
40315,2768,RESI-103108,2,36.8,299,4.4,2025-10-10
41342,2837,RESI-103185,2,17.88,138,2.9,2025-10-10
42296,2902,SMALLCOMM-103257,3,107.99,2086,27.83,2025-10-10
42314,2903,RESI-103258,2,38.39,263,7.68,2025-10-10
42441,2917,RESI-103273,2,27.97,232,3.05,2025-10-10
